,全长,体长,头长,吻长,体高,尾柄长,尾柄高,眼球直径,D1-2,D1-3,D1-4,D2-4,D3-4,D3-5,D3-6,D4-5,D4-6,D5-6,D5-7,D5-8,D6-7,D6-8,D7-8,D7-9,D7-10,D8-9,D8-10,D9-10
DHL1,15.812,12.908,3.612,1.024,4.957,1.818,1.739,0.697,4.31,2.712,3.586,3.185,5.671,3.246,4.651,8.097,3.634,5.681,1.161,2.901,5.988,5.105,2.07,1.581,2.556,2.194,1.293,1.799
DHL2,14.459,11.777,3.067,0.91,5.322,1.325,1.765,0.58,3.752,2.721,3.357,2.899,5.487,3.21,5.076,7.794,3.766,5.543,1.197,3.118,5.668,4.771,2.192,1.211,2.418,2.138,0.912,1.864
DHL3,15.563,12.657,3.724,0.926,4.65,1.636,1.55,0.825,4.169,2.751,3.396,3.071,5.451,3.255,4.433,8.2,3.519,5.774,1.155,2.629,5.936,4.801,2.038,1.537,2.282,2.679,1.782,1.751
DHL4,13.948,11.527,3.079,0.816,4.974,1.303,1.685,0.678,3.589,2.619,3.317,2.965,5.373,3.091,4.785,7.301,3.587,5.044,1.147,2.611,5.336,4.282,1.976,1.369,2.221,2.567,1.685,1.792
DHL5,15.104,11.833,3.021,0.688,4.979,1.285,1.771,0.741,3.394,2.846,3.343,3.212,5.441,3.424,4.701,7.676,3.268,5.471,1.317,2.778,5.775,5.067,1.964,1.394,2.354,2.453,1.316,1.875
DHL6,14.839,12.289,3.428,0.711,4.954,1.651,1.693,0.627,4.127,2.641,3.572,3.223,5.595,3.255,4.808,8.048,3.754,5.631,1.125,2.902,5.967,5.151,2.091,1.568,2.399,2.651,1.509,1.8
DHL7,14.669,11.759,3.356,1.031,4.864,1.216,1.595,0.694,3.903,2.75,3.318,2.929,5.567,3.207,4.752,7.727,3.605,5.459,1.21,2.708,5.749,4.851,1.843,1.269,2.021,2.142,0.965,1.676
DHL8,14.648,11.893,3.669,1.13,5.312,1.11,1.824,0.775,4.292,2.66,3.787,3.277,5.768,3.156,5.08,7.863,3.591,5.738,0.804,2.808,5.723,4.858,2.107,1.311,2.317,2.264,0.923,1.88
DHL9,15.547,12.506,3.881,1.085,5.038,1.374,1.711,0.831,4.204,2.978,3.662,3.352,5.775,3.244,4.737,8.12,3.945,5.642,1.058,2.71,5.874,4.881,1.988,1.373,2.126,2.179,0.962,1.794
DHL10,16.211,13.383,3.862,1.134,5.16,1.624,1.895,0.829,4.446,3.122,3.671,3.465,5.877,3.723,4.911,8.892,4.1,6.169,1.259,2.986,6.528,5.4,2.256,1.592,2.358,2.996,1.722,1.966
DHL11,15.356,12.321,3.547,1.005,5.051,1.479,1.8,0.705,4.087,2.778,3.57,3.107,5.603,3.494,4.806,8.084,3.851,5.477,1.03,2.677,5.574,4.626,2.011,1.408,2.326,2.557,1.465,1.995
DHL12,13.978,11.673,3.429,0.961,5.082,1.327,1.694,0.816,3.91,2.618,3.383,3.103,5.407,3.297,4.873,7.827,3.61,5.619,0.952,2.689,5.589,4.84,1.922,1.333,2.343,2.238,1.225,1.905
